Time,Theta_deg,Theta_dot,Sin_theta,Cos_theta,Control
0,30,0,0.5,0.866025403784439,0
0.01,26.4784026271844,0.00382584822364151,0.44586044549942,0.895102500915527,0
0.02,26.1782348564416,0.0013263508444652,0.441164970397949,0.897426009178162,0
0.03,25.7372169673027,0.000870025134645402,0.434244275093079,0.900795102119446,0
0.04,25.1932056869463,0.00267012580297887,0.425671994686127,0.904877543449402,0
0.05,24.57439840234,0.00662602344527841,0.415874481201172,0.909422039985657,-1.44943891663457
0.06,23.8928724136082,0.0166975725442171,0.405027836561203,0.914304316043854,-2.41380166103483
0.07,23.1701433977369,0.038353718817234,0.393462896347046,0.919340491294861,1.06181619678931
0.08,22.4453097387287,0.0611823908984661,0.381801396608353,0.924244403839111,1.89284059042895
0.09,21.7136654526191,0.0721546486020088,0.369968354701996,0.929044365882874,2.6946831963135e-37
0.1,20.9426103860547,0.0748083889484406,0.357432663440704,0.933938920497894,1.81834496405763
0.11,20.1506822043073,0.0687662065029144,0.344490259885788,0.938789904117584,2.15167273794385
0.12,19.5259650164328,0.0527150332927704,0.334233999252319,0.942490100860596,0.768548369222779
0.13,18.8411286642148,0.0306745991110802,0.322945147752762,0.946417689323425,1.26207818594197
0.14,18.1246810233591,0.00655125128105283,0.311085850000381,0.950381815433502,1.74721579890202
0.15,17.3903266313791,-0.0213015340268612,0.298879683017731,0.954290807247162,-0.127311967534044
0.16,16.6103787879783,-0.0558795556426048,0.285861968994141,0.958270847797394,0.70829432578119
0.17,15.8226644153687,-0.0894775539636612,0.272660851478577,0.962110221385956,0.39168179438014
0.18,15.058765616101,-0.0961224362254143,0.259809613227844,0.965659856796265,0.39825791873506
0.19,14.3006502618523,-0.0960115864872932,0.24701002240181,0.969012975692749,0.79395236857236
0.2,13.5400755893055,-0.107405588030815,0.234125435352325,0.97220641374588,0.403342306603423
0.21,12.8059404600844,-0.105659730732441,0.22164960205555,0.975126385688782,-0.144668495388036
0.22,12.0874948418575,-0.0993364006280899,0.209405153989792,0.977828979492188,1.20568152322405
0.23,11.3858815577616,-0.102088771760464,0.19741578400135,0.980319857597351,-2.49370200217679
0.24,10.678529654249,-0.0932209491729736,0.185298398137093,0.982682347297668,0.450476117915224
0.25,10.0317850687536,-0.0735673308372498,0.174194470047951,0.984711229801178,0.195868106770847
0.26,9.40979770079392,-0.0666395574808121,0.163494661450386,0.986544191837311,0.0144388811526741
0.27,8.83154980375298,-0.0545957498252392,0.153529986739159,0.988144040107727,0.296597960022674
0.28,8.28810929524972,-0.0461206696927547,0.144150838255882,0.989555716514587,0.237499051338561
0.29,7.77094981909626,-0.0401599258184433,0.135213226079941,0.990816533565521,0.0971555355948601
0.3,7.27913057117401,-0.0337676331400871,0.126703307032585,0.99194061756134,0.407869455154715
0.31,6.81258260325471,-0.0316798239946365,0.118622027337551,0.992939472198486,-0.106737624757975
0.32,6.35966200112913,-0.0334410220384598,0.110769264400005,0.99384617805481,0.281664774096967
0.33,5.94157196113137,-0.0275434758514166,0.103514231741428,0.994627952575684,0.0966954966284929
0.34,5.51615832071896,-0.0433598719537258,0.0961264669895172,0.995369136333466,-0.120817365256746
0.35,5.13611315604931,-0.039622001349926,0.0895220786333084,0.995984852313995,-1.12007521636786
0.36,4.76159645039815,-0.0339655242860317,0.0830099061131477,0.996548712253571,-0.131554435221523
0.37,4.41746461225509,-0.0254557318985462,0.0770229399204254,0.997029304504395,-0.12970751887597
0.38,4.10018243131479,-0.0155699634924531,0.0715006217360497,0.997440576553345,-0.442382333451982
0.39,3.80129012000524,-0.00611135084182024,0.0662963688373566,0.99779999256134,0.134386276833167
