Time,Theta_deg,Theta_dot,Sin_theta,Cos_theta,Control
0,20,0,0.342020143325669,0.939692620785908,-0.377356381111876
0.01,15.9790615190837,0.024997889995575,0.275286048650742,0.961362361907959,3.71738609303973
0.02,15.7744157444509,0.0164286438375711,0.271850556135178,0.962339460849762,3.95136848974141
0.03,15.4265072655666,-0.0123769827187061,0.266002118587494,0.963972449302673,-0.113910713827476
0.04,14.9088782241357,-0.0465038567781448,0.25728252530098,0.966336190700531,-0.323760705988283
0.05,14.2931964900272,-0.0711383149027824,0.246883943676949,0.969045042991638,0.0750125042738386
0.06,13.6239177817541,-0.0868057459592819,0.235547840595245,0.97186279296875,0.0357806370825946
0.07,12.9180040436475,-0.0958574041724205,0.223556399345398,0.974690973758698,0.409515958880046
0.08,12.1913156076225,-0.101218104362488,0.211176648736,0.977447926998138,0.310318540250343
0.09,11.446391872903,-0.105246849358082,0.198450982570648,0.980110764503479,0
0.1,10.684746505436,-0.107762344181538,0.185405015945435,0.982662200927734,-0.160471637062115
0.11,9.90885360180936,-0.110330522060394,0.17208132147789,0.985082745552063,-0.262208661411476
0.12,9.38784686233755,-0.0814406797289848,0.163116693496704,0.986606776714325,0.244442864869541
0.13,8.8531017948051,-0.0545728951692581,0.153901651501656,0.988086104393005,0.278830165790908
0.14,8.29267141627373,-0.0546368695795536,0.144229635596275,0.989544272422791,0.503352596345197
0.15,7.75544249933215,-0.0560742430388927,0.134945049881935,0.990853071212769,-0.462680899063106
0.16,7.23654860531353,-0.0539090447127819,0.12596607208252,0.992034554481506,-0.764390257504811
0.17,6.73988762555785,-0.0475049205124378,0.11736211925745,0.993089139461517,-0.26507043809587
0.18,6.28107483335244,-0.0357965044677258,0.109405994415283,0.993997156620026,-0.311778580776983
0.19,5.85401951705936,-0.0240601375699043,0.101994246244431,0.994785010814667,0.247815940619885
0.2,5.46219288341204,-0.0154799269512296,0.0951889082789421,0.995459198951721,0.489089748271477
0.21,5.10277522548425,-0.0116751883178949,0.0889425426721573,0.996036767959595,-0.187235833440235
0.22,4.76510553427416,-0.0105318147689104,0.0830709412693977,0.996543645858765,0.102206097354267
0.23,4.44006616013061,-0.0076048020273447,0.0774162337183952,0.996998846530914,-0.061109595006532
0.24,4.12419450372245,-0.00587683217599988,0.0719186291098595,0.997410476207733,-0.291943857189304
0.25,3.82666642732447,-0.00228986819274724,0.0667382851243019,0.997770488262177,0.0954449401393584
0.26,3.54332103729237,-0.00377774424850941,0.0618032068014145,0.998088359832764,0.133776151818877
0.27,3.27702817381322,-0.00734166381880641,0.0571637526154518,0.998364806175232,-0.0269146158767147
0.28,3.02923437143108,-0.00835864432156086,0.0528454855084419,0.998602688312531,0.0519602887646601
