time,sin_theta,cos_theta,theta_dot,x,x_dot,u,sin_theta_next,cos_theta_next,theta_dot_next,x_next,x_dot_next
0.57,0.00831347490047705,0.999965442470428,0.0534943355718658,-0.969180430238346,-6.59512200101076,-0.0665878154149529,0.00884910589708581,0.999960845895889,0.0535896601541438,-1.03614395999027,-6.74880506220732
0.58,0.00884910589708581,0.999960845895889,0.0535896601541438,-1.03614395999027,-6.74880506220732,-0.0591023410345352,0.00938499772002183,0.999955959939134,0.0535814925174074,-1.10455769188664,-6.88835086053133
0.59,0.00938499772002183,0.999955959939134,0.0535814925174074,-1.10455769188664,-6.88835086053133,-0.0515578099864713,0.00992013102718373,0.999950794289601,0.0534688777993992,-1.17433825613157,-7.02444330568383
0.6,0.00992013102718373,0.999950794289601,0.0534688777993992,-1.17433825613157,-7.02444330568383,-0.0440326966376709,0.0104534452261909,0.999945361248755,0.0532536262679259,-1.2454318868414,-7.15259206334693
0.61,0.0104534452261909,0.999945361248755,0.0532536262679259,-1.2454318868414,-7.15259206334693,-0.0367126733158575,0.010984090330079,0.99993967306014,0.0529621702026779,-1.31773582105116,-7.27029014462545
0.62,0.010984090330079,0.99993967306014,0.0529621702026779,-1.31773582105116,-7.27029014462545,-0.0295882325662053,0.0115112184774826,0.999933743729635,0.0525792657701122,-1.39121258618775,-7.38713995435793
0.63,0.0115112184774826,0.999933743729635,0.0525792657701122,-1.39121258618775,-7.38713995435793,-0.0225625297926443,0.0120341663777265,0.99992758679796,0.0521496892057691,-1.46578024736462,-7.49121870449417
0.64,0.0120341663777265,0.99992758679796,0.0521496892057691,-1.46578024736462,-7.49121870449417,-0.0156196012597483,0.0125523010286226,0.999921216766044,0.0516361031026264,-1.54136774418062,-7.5932649577657
0.65,0.0125523010286226,0.999921216766044,0.0516361031026264,-1.54136774418062,-7.5932649577657,-0.00881960162377033,0.0130649186533926,0.999914650308005,0.0510829866809038,-1.61792913983664,-7.68562615191928
0.66,0.0130649186533926,0.999914650308005,0.0510829866809038,-1.61792913983664,-7.68562615191928,-0.00218822642458242,0.0135715926822371,0.999907901694985,0.0504554575721403,-1.69538616166221,-7.77579708912388
0.67,0.0135715926822371,0.999907901694985,0.0504554575721403,-1.69538616166221,-7.77579708912388,0.00430565351211346,0.0140718144268385,0.999900987117593,0.0498029555899472,-1.77368731028188,-7.85729718765925
0.68,0.0140718144268385,0.999900987117593,0.0498029555899472,-1.77368731028188,-7.85729718765925,0.0106785796884044,0.0145651376437971,0.999893922756518,0.0490960260094867,-1.85277697693428,-7.93461204917044
