time,theta_deg,sin_theta,cos_theta,theta_dot,x,x_dot,u
0,50,0.766044443118978,0.642787609686539,0,0,0,2700
2.24618836364506e-08,49.9999999998707,0.766044443117527,0.642787609688268,-0.000100475160542442,7.18414226093415e-11,0.00319837034917049,2699.99438452953
1.34771301818704e-07,49.9999999953449,0.766044443066753,0.642787609748778,-0.000703328100876206,2.58629121397953e-09,0.0223885924445785,2699.9663071903
6.96318392729968e-07,49.999999875734,0.766044441724868,0.642787611347975,-0.00371759201171338,6.90396071592074e-08,0.118339702975558,2699.82592082231
3.50405384728629e-06,49.9999968531358,0.766044407815062,0.642787651760106,-0.0187889109332339,1.7483328808323e-06,0.598095262482075,2699.12399718612
1.75427311200679e-05,49.999921126501,0.766043558255382,0.642788664224435,-0.0941455582418576,4.3820478383416e-05,2.99687389951999,2695.61458405244
8.7736117483976e-05,49.9980271275714,0.766022309482214,0.642813986605406,-0.470934927959595,0.0010960796837715,14.9908596791839,2678.0726377365
0.00029265560809389,49.9780465128622,0.765798095985405,0.643081080568484,-1.70177815789915,0.0121959680639982,54.1670699414166,2626.90996607336
0.000617002859386738,49.9023917430822,0.764948288414565,0.644091698480603,-4.07102209818595,0.0542106588138339,129.53613937644,2546.07481955216
0.00105329834654033,49.7154459227643,0.762842664997312,0.646584154197888,-7.47846398475645,0.15793594916527,237.740919641743,2437.6129143022
0.00160320972717196,49.3407037716758,0.758597405226702,0.65155964944379,-11.8937061731416,0.365456822398633,377.371483010591,2301.34458854942
0.00227859903276839,48.6690293933299,0.750907267088079,0.660407659127537,-17.3572920185194,0.736092117730615,548.77282222389,2134.65984379241
0.0031052160143505,47.5325723392923,0.737661287012245,0.675170960308157,-23.9952938814647,1.35945519846878,754.113567259495,1931.72316129011
0.0041342283970826,45.6408982189632,0.714971923265326,0.699153165581248,-32.0850772338139,2.38708913395129,998.660417238196,1680.86466046114
0.00548174555545194,42.376889209956,0.674004469850093,0.738727266737931,-42.2760509342007,4.13288617433772,1295.56572214565,1355.45499992085
0.00766880837779656,35.2152114541632,0.576649239618043,0.81699183254665,-57.1519279320123,7.85617149531169,1702.41352142892,834.546995560117
0.00977613994948244,26.1996989219924,0.441501137870092,0.897260689688016,-74.6680681651396,12.3704982355899,2142.20049703273,341.374769576893
0.012008254032518,14.6618355520539,0.253113595859733,0.967436565150892,-90.2165825578309,17.9460344394673,2497.872418911,-162.900663773139
0.0138522051997565,4.17372454123054,0.0727808277370483,0.997347958895946,-99.2716470510879,22.9097211384788,2691.87535288431,-543.021053661404
0.0155602617552186,-5.51616085019773,-0.0961265102012314,0.995369124514385,-99.0133515664329,27.4994930537252,2687.13111434686,-835.90683031304
0.0175086280610513,-15.5951606125205,-0.26883846781998,0.963185277202785,-90.2867857207569,32.3846299144742,2507.29898485962,-1070.88371901332
0.0195176872164201,-24.2723883254203,-0.411075092260767,0.91160148558611,-75.3816497292718,36.7848328463874,2190.18087155597,-1194.94568672683
0.021257766556222,-30.2680432944152,-0.504045986728856,0.863676816443821,-60.1374417987353,40.0028121459803,1849.32906562713,-1218.19068111558
0.0232374557755132,-35.5028987531013,-0.580744143339782,0.814086137934152,-46.1514174698495,43.0075815091483,1517.79851801376,-1172.6866358492
0.0258038995211001,-40.1373201797922,-0.644621732300067,0.764501682304533,-31.5167293106723,45.9560533977268,1148.8550620478,-1037.83833280332
0.02836949446856,-42.793139806235,-0.679353447736724,0.73381121076761,-18.0670751890923,47.9817309896819,789.554716718154,-855.477296853498
0.0309350894160198,-43.8902601283386,-0.693279329735524,0.720668974607248,-7.46351715815755,49.2483102857399,493.678589955149,-654.346889450525
0.0335136649998188,-43.773044387018,-0.691803534937468,0.722085776793881,0.793384003968703,49.914249295432,258.258479555953,-452.284196846705
0.0361850807002498,-42.6851936327519,-0.67796973070029,0.735089820534998,7.10730921779917,50.1220126003377,77.7727348357704,-256.216056982807
0.0391550912865576,-40.690084116551,-0.651967187687201,0.758247180132734,11.7242780736566,49.965237276725,-52.7861160951716,-64.9503336984544
0.0428734811526677,-37.6181028012237,-0.610395460116839,0.792096826321601,14.4191949856773,49.488222316652,-128.285353943275,122.611193763722
0.0450253321817052,-35.8218625661385,-0.585267113067892,0.810840555449205,14.5689947101293,49.1982802643103,-134.740764313675,200.82358992147
0.0471771832107426,-34.1803855466012,-0.561800204809952,0.827272947627019,13.3137369642013,48.9727610826887,-104.802413632894,255.322902232656
0.0502060860836688,-32.3496770421094,-0.535085014084005,0.844798217151717,10.5489982307598,48.8557185588881,-38.6418874130282,291.851238387027
0.0536125020127314,-31.2057236563059,-0.518112454810435,0.855312506730906,5.86121997060485,49.1023031617684,72.3882837607971,281.288707248272
0.0565820920728685,-31.0891147010555,-0.516370642237363,0.856365202373014,0.685350558567299,49.6782161711985,193.936872688574,236.369260550907
0.0592942731047268,-31.6532018966821,-0.524776549532931,0.851240020828621,-3.62998587350193,50.4782744342715,294.987043149113,176.185004275354
0.0627088557030921,-33.0840436879303,-0.545868643402557,0.837870768167653,-7.31360264776455,51.7805264622594,381.379565576007,89.2883329433589
0.065961186351522,-34.9234887759034,-0.572482051930903,0.819917252054732,-9.8711898220638,53.2159210925776,441.343388935908,9.2474379450851
0.0692135169999518,-36.947077929171,-0.60107709536036,0.799191044389983,-10.8593797033566,54.7235268274886,463.546268162755,-57.5184285212756
0.0723880836198681,-38.8808938508193,-0.627703505724296,0.778452509085448,-10.6318307351011,56.1687843215793,455.26135284847,-104.683483077335
0.0755626502397844,-40.622941009735,-0.651078174403619,0.759010678986305,-9.57751475661015,57.5182323621461,425.081027470269,-133.03477734091
0.0783840217093005,-41.9381534999235,-0.668328047547354,0.74386666873946,-8.13603900271967,58.6012880934073,383.875623243239,-143.848810654111
0.0811427309273342,-42.9835605111657,-0.681788489642757,0.731549352669147,-6.61388820914381,59.5385032100972,339.729577355726,-143.620559726258
0.0844105558122425,-43.9102190114826,-0.693530331425696,0.720427428262253,-4.94923762494598,60.4880644681517,290.578991071359,-133.019034392331
